Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Liechtenstein,2884.0,57.0,0.19,1.78,1.0143209876543204,0.13590190519737833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,382.0,115.53592814371258,7010.530146294242,38589.0,0.001,0.219,0.060685628742514944,0.005145113745562769,4.6,1000.0,79.21039426523295,21691.26473066893,7229.0,3228.0,10457.0,38137.0,0.0,0.0,0.0,0.0,0.0,7.77,0.0,0.0,0.0,2.397,82.49,0.919
Lithuania,241297.0,3848.0,0.64,1.66,1.0842713567839206,0.05532899169212891,0.0,0.0,0.0,0.0,1.0,2571.0,1248.6136363636363,552586.6613292011,8.769,128.608,69.60855555555555,1002.6626573580246,0.974,779.443,236.81419999999997,59460.99807108001,114.0,21185.0,6879.2725,21059978.513243757,2751709.0,0.002,0.254,0.06311928934010158,0.004517120287819829,3.9,500.0,78.56878172588844,9547.25879699298,630760.0,246835.0,877595.0,2722291.0,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38.0,0.0,6.56,75.93,0.882
Luxembourg,66007.0,790.0,0.55,2.61,1.1043672456575666,0.1178960636417933,1.0,50.0,16.057142857142857,211.84435374149646,1.0,247.0,93.41854636591479,4537.386222448352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16175.0,6220.453460620525,20999782.644015472,2606391.0,0.001,0.216,0.030818181818181842,0.0010957605539423695,4.6,969.6,103.5171990171991,24963.16810714223,125739.0,47414.0,173153.0,625976.0,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26.0,0.0,4.51,82.25,0.916
Macao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60800.0,32888.0,93688.0,649342.0,39.2,9.798,4.991,104861.851,0.0,0.0,0.0,0.0,0.0,0.0,84.24,0.0
Madagascar,35746.0,599.0,0.25,1.81,0.8649206349206359,0.14214615772234812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3284.0,705.6464646464647,266320.6123864911,175590.0,0.104,0.547,0.15285875706214697,0.015429844457212152,1.8,197.5,13.14926253687316,421.5410835269455,0.0,0.0,0.0,27691019.0,19.6,2.929,1.686,1416.44,405.994,3.94,0.0,0.0,50.54,0.2,67.04,0.528
Malawi,34016.0,1147.0,0.6,2.05,1.0585628742514965,0.16795841371149947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1995.0,304.83422459893046,71322.72652921158,225576.0,0.003,0.377,0.08907466666666668,0.007403114424888889,2.7,329.0,35.554133333333304,2088.7120829155583,267293.0,0.0,267293.0,19129955.0,18.1,2.979,1.783,1095.042,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
Malaysia,392942.0,1436.0,0.54,2.44,1.1215085158150855,0.1119330041853887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,126964.0,22967.682989690722,416910419.41239136,9066170.0,0.001,0.163,0.03552558139534884,0.0011000074851270961,6.1,1881.5,209.04564705882376,118922.90182222836,800996.0,504165.0,1305161.0,32365998.0,29.9,6.293,3.407,26808.164,260.942,16.74,1.0,42.4,0.0,1.9,76.16,0.81
Maldives,27874.0,71.0,0.76,1.84,1.072896174863388,0.040262650422526754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6659.0,1880.9812332439678,1713197.980881052,716996.0,0.001,0.142,0.044015075376884386,0.0010840449988636668,7.0,1125.9,47.30820512820519,9312.735368573309,290014.0,70983.0,360997.0,540542.0,30.6,4.12,2.875,15183.616,164.905,9.19,2.1,55.0,95.803,0.0,78.92,0.74
Mali,13627.0,467.0,0.75,1.43,1.079151193633953,0.029360022233323253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49903.0,0.0,49903.0,20250834.0,16.4,2.519,1.486,2014.306,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
Malta,30174.0,413.0,0.19,1.59,0.9576574307304783,0.08296101110977158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858,12.013,4.882172413793104,5.3378722806183125,3.432,89.241,22.147431034482754,558.4136166935195,5.0,4760.0,2015.924882629108,1229698.9239348453,858830.0,0.001,0.077,0.02706829268292679,0.00040033192147531177,13.0,6062.9,253.59926470588215,475802.3215925968,211985.0,99574.0,311559.0,441539.0,42.4,19.426,11.324,36513.323,168.711,8.83,20.9,30.2,0.0,4.485,82.53,0.895
